item,title,rating,body
'B0BRN1YWYR','Good choice, but packing can be improved','4.0 out of 5 stars''Small and medium trolley was good for the price with dual wheels packing could have been made in carton box it was only covered by polythene cover which makes small scratches. Worth for the price'
'B0BRN1YWYR','Good product in Great Price','5.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r1xguev77sqntk_1697130096409""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""257-2062738-0099765""refMarkers:""vse_reviews_desktop_R1XGUEV77SQNTK_1697130096409_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""NF776BEV3S4JZWZ54030""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R1XGUEV77SQNTK""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R1XGUEV77SQNTK_1697130096409_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/e09a1c37-4d32-40f1-87fd-522ea361b176.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/c979e35e-5b51-497f-ab0a-65f8d2afd9cf/default.vertical.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R1XGUEV77SQNTK""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r1xguev77sqntk_1697130096409-player-c3c2f301-89d0-4dcd-a61c-239847ff1b94""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""NF776BEV3S4JZWZ54030""pageAsin:""""sessionId:""257-2062738-0099765""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""257-2062738-0099765""refMarkers:""vse_reviews_desktop_R1XGUEV77SQNTK_1697130096409_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""NF776BEV3S4JZWZ54030""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R1XGUEV77SQNTK""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R1XGUEV77SQNTK_1697130096409_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/51n9st4-yvL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Received this product at 1300₹ with 7years warranty. It\'s a great item'"
'B0BRN1YWYR','Good product','4.0 out of 5 stars','I liked it'
'B0BRN1YWYR','Good product','5.0 out of 5 stars','Jus go ahead'
'B0BRN1YWYR','Totally waste of money','1.0 out of 5 stars',It's wheels are not gliding well like other brands. whenever I try to glide on floor it's not glide well😡
'B0BRN1YWYR','nnice','4.0 out of 5 stars','its very good'
'B0BRN1YWYR','Handles seems weak','2.0 out of 5 stars','Handle seems weak. Abhi chalu h to chal rha kab tak chalega ka idea Ni hai waise to chalu company ka Ni h but let see.'
'B0BRN1YWYR','Cushion problem','1.0 out of 5 stars','Cushion nikal aya hai..'
'B0BRN1YWYR','Quality is not much expected','3.0 out of 5 stars','Quality is Not much expected'
'B0BRN1YWYR','Good','4.0 out of 5 stars','Worth'
'B0BRN1YWYR','Aristocrats travel suitcase','5.0 out of 5 stars','Nice products. Sturdy. Worth for money'
