item,title,rating,body
'B0BSC7BZPY','Very useful product','4.0 out of 5 stars','Very easy to assemble because all the boards were correctly numbered as per the assembling guide. Every part fitted snugly in their place. Good product.'
'B0BSC7BZPY','Nice Product','5.0 out of 5 stars',''
'B0BSC7BZPY','Not worth','3.0 out of 5 stars','Poor quality'
'B0BSC7BZPY','I want refund of this product or take it back','1.0 out of 5 stars','The media could not be loaded.'
'B0BSC7BZPY','Quality is good. Easy to assemble.','5.0 out of 5 stars',''
'B0BSC7BZPY','Useless product','1.0 out of 5 stars','Damage.. useless product....Damage.. useless product....Damage.. useless product....Damage.. useless product....Damage.. useless product....Damage.. useless product..Damage.. useless product....Damage.. useless product....Damage.. useless product.Damage.. useless product....Damage.. useless product....Damage.. useless product'
'B0BSC7BZPY',Doesn't it look smaller than your picture?,'4.0 out of 5 stars',''
'B0BSC7BZPY','Very Good','5.0 out of 5 stars','The media could not be loaded. Product is 👍 good'
'B0BSC7BZPY','Beautiful table','4.0 out of 5 stars','Beautiful and worth it'
'B0BSC7BZPY','The quality may be imporved','4.0 out of 5 stars','The table looks stylish but as expected from engineering wood the strength is low'
'B0BSC7BZPY','Dissatisfied with the product','2.0 out of 5 stars','Thin particle boards and the DIY took me more time than expected!'
'B0BSC7BZPY','Good product','4.0 out of 5 stars',I must say it's a very good product. Assembly was quite easy. Not sure of the durability. The price could have been better. Overall nice purchase.
'B0BSC7BZPY','Drawing Writing Desk accessories','4.0 out of 5 stars','Good size nice under desk organiser'
'B0BSC7BZPY','Damn good','5.0 out of 5 stars','Decent buy. Easy to assemble. Looks exactly as shown in the picture. The shelf beneath is pretty spacious. Best buy. Looks beautiful too.'
'B0BSC7BZPY','Super classy table for my working space','5.0 out of 5 stars','The media could not be loaded. Good and comfortable working space especially for working from home.'
'B0BSC7BZPY','The table is not sturdy, it keeps shaking.','1.0 out of 5 stars''The table keeps shaking. Rest it is fine. The edges of table are very sharp they will wound you every now and then.'
'B0BSC7BZPY','Good quality, durable and good finishing','4.0 out of 5 stars'The product quality is very good. It's durable.
'B0BSC7BZPY','Good product for the price. Took 1 hr to assemble it by 2 people','5.0 out of 5 stars','Good product for the price. Took 1 hr to assemble it by 2 people'
'B0BSC7BZPY','Lifesaver','4.0 out of 5 stars',"This is indeed a great product. It is compact but at the time does the purpose. It can be used for office and study purpose. The product is strong and sturdy. We get user manual along with this which makes it even more easier. Make sure that all the necessary items are there and have a basic idea how the product is built because if we dismantle and set it up again there is chance that for the item to loose it sturdiness, so I wouldn't recommend this for those who shift places."
'B0BSC7BZPY','worth buy!','4.0 out of 5 stars','good deal in 2700.'
