item,title,rating,body
'B0BT1RZ9G5','Good product','5.0 out of 5 stars','Nice for winters .'
'B0BT1RZ9G5','Quality is very bad','1.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_r1cyou54y7s113_1697133374627""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""259-1870687-5801305""refMarkers:""vse_reviews_desktop_R1CYOU54Y7S113_1697133374627_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""D8J9D53S7HJ9BDQM6DSP""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R1CYOU54Y7S113""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R1CYOU54Y7S113_1697133374627_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/00ff2acd-7e56-44e9-b140-0624be33caf0.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/3ede5852-5c12-4b4d-bb06-c9cba5a6034a/default.vertical.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""R1CYOU54Y7S113""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_r1cyou54y7s113_1697133374627-player-25363dcc-56a2-434b-812c-a2e123e8d8d0""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""D8J9D53S7HJ9BDQM6DSP""pageAsin:""""sessionId:""259-1870687-5801305""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""259-1870687-5801305""refMarkers:""vse_reviews_desktop_R1CYOU54Y7S113_1697133374627_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""D8J9D53S7HJ9BDQM6DSP""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""R1CYOU54Y7S113""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_R1CYOU54Y7S113_1697133374627_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/61lyMja0CcL._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Gals please don’t buy this product..the product gets bubbles after wearing for 1 hour..material is not at all good and I would not recommend this product at all'"
'B0BT1RZ9G5','Fits & warm is perfectly but sticking is flat','5.0 out of 5 stars','Definitely loved it! I got beige first and then black both have same stitch. Only thing was the pants back stitching was flat if your someone wants to wear this as leggings with crop tops it’s not the best match. But it was really kept me warm like thermal at 0*. So this product is worth it!'
'B0BT1RZ9G5','Must buy','5.0 out of 5 stars','Quality is good of the product I'
'B0BT1RZ9G5','Comfort fit','5.0 out of 5 stars','Product is really comfortable and fit in size.'
'B0BT1RZ9G5','Product quality is good','5.0 out of 5 stars','Comfortable and very soft material.'
'B0BT1RZ9G5','Comfortable and soft','5.0 out of 5 stars','The fabric is comfortable to wear and soft from the inside'
'B0BT1RZ9G5','My spouse liked the product','5.0 out of 5 stars','Totally satisfied with the product.'
'B0BT1RZ9G5','Comfortable and looks good','5.0 out of 5 stars',It's perfectly fitting and very comfortable
'B0BT1RZ9G5','Love it','5.0 out of 5 stars','Reallt great product value for money'
'B0BT1RZ9G5','Superb awesome product in this price , super soft fabric with gud quality stitches n size.',"'5.0 out of 5 stars''My height is 5\'4""n weight around 70kg. I tried to explore almost all online shops for winter wear fleece stockings which i can wear in swiss alps too... but most of them have expensive stuff n most of all had writen bad products reviews specifically in size fabric n most imp was non returnable. Then I found this ☝🏻 one. It meets all the aspects perfectly fit for 5\'to 6\' tall person color nude skin super soft n stretchable with gud quality stitching. Also next day delivery.Thanks amazon.'"
'B0BT1RZ9G5','Comfortable','5.0 out of 5 stars','Product is amazing.'
'B0BT1RZ9G5','Great quality!','5.0 out of 5 stars','It is good quality and worth to buy 👍🏻 I liked the product as it is comfortable and skin friendly. I suggest to buy this product to everyone. 5stars!'
'B0BT1RZ9G5','Quality','5.0 out of 5 stars','Its Very stretch  warm and comfortable'
'B0BT1RZ9G5','Best product','5.0 out of 5 stars','Worth buying it at lowest price♥️♥️ loved it!!!'
'B0BT1RZ9G5','Very affordable and worth the price.','5.0 out of 5 stars','It’s perfect very comfortable and I have ordered 3 pieces as recommended by a friend for winters. 😊'
'B0BT1RZ9G5','Performance','5.0 out of 5 stars',"I like it the most, I used it for Himalaya trecking beautifully worked in -10'C. Would like to suggest you all."
'B0BT1RZ9G5','Good quality','5.0 out of 5 stars','The quality of the leggings is very good.'
'B0BT1RZ9G5','Good for winter','5.0 out of 5 stars','The quality is really good. Good product. Go for it.'
'B0BT1RZ9G5','Good purchase','3.0 out of 5 stars','I love this'
'B0BT1RZ9G5','Stuff is very soft .I liked it very much.thanku','5.0 out of 5 stars','I like this product very much'
'B0BT1RZ9G5','good quality','5.0 out of 5 stars','the quality of the product is good'
'B0BT1RZ9G5',It's worth buying,'5.0 out of 5 stars',It's soft and warm... It's worth purchasing..it can keep warm in winter season and used for cold places
'B0BT1RZ9G5','Soft and Comfortable','5.0 out of 5 stars','I bought 2 leggings and both are soft and comfortable to wear and also warm enough!'
'B0BT1RZ9G5','Good','5.0 out of 5 stars','Great Material. Really soft on the inside. True to size.'
'B0BT1RZ9G5','Soft and stretchy material','4.0 out of 5 stars','The material was soft and easy slided on the legend but it was tough to pull it up. If only the waist band would be more stretchy it would deserve 5 star.'
'B0BT1RZ9G5','Comfortable worth the price','5.0 out of 5 stars','Very soft n comfortable thank you for the product'
'B0BT1RZ9G5','Good warmers!','5.0 out of 5 stars','This product was delivered in a perfect condition. The product is exactly as per the description and I am very satisfied with the purchase.'
'B0BT1RZ9G5','Stuff','5.0 out of 5 stars','Stuff is very good and same product as shown..'
'B0BT1RZ9G5','Nice material','5.0 out of 5 stars','Nice material'
'B0BT1RZ9G5','Great quality','5.0 out of 5 stars',The quality is really nice. Also it's very warm Delighted with the purchase
'B0BT1RZ9G5','Perfect fit','5.0 out of 5 stars','Good material perfect size  absolute value for money.'
'B0BT1RZ9G5','Nice Product','5.0 out of 5 stars','The quality is good and the size fits perfectly.😍 Best for wearing shorts in winter. ❤'
'B0BT1RZ9G5','Amazing quality','5.0 out of 5 stars','Thr product is true to its quality and looks very stylish.'
'B0BT1RZ9G5','Perfect','5.0 out of 5 stars','Loved it'
'B0BT1RZ9G5','Amazing product','5.0 out of 5 stars','Value for money . Excellent quality . A steal bargain .'
'B0BT1RZ9G5','Good quality','5.0 out of 5 stars','Nice material'
'B0BT1RZ9G5','It’s good to use','5.0 out of 5 stars','I’m really satisfied'
'B0BT1RZ9G5','Keep Cart','5.0 out of 5 stars','Keep Cart is good product. I bought 3 pieces. Even it is very comfortable too.'
'B0BT1RZ9G5','Great product','5.0 out of 5 stars','The material used is of high quality.'
'B0BT1RZ9G5','Stretchy and soft!','5.0 out of 5 stars','It fit perfectly but how warm it is is yet to be seen. It is nicely stretchable and has a smooth texture.'
'B0BT1RZ9G5','So soft','5.0 out of 5 stars','Best quality and so soft perfect for winters'
'B0BT1RZ9G5','Worth it','5.0 out of 5 stars','It’s a nice one. Satisfied while using the product Thanks'
'B0BT1RZ9G5','Best for winter','5.0 out of 5 stars','Very soft and comfy'
'B0BT1RZ9G5','Quality','5.0 out of 5 stars','Very good quality nice productvery much comfortable'
'B0BT1RZ9G5','Amazing','5.0 out of 5 stars','Quality is too good. Fully satisfied with the purchase.'
'B0BT1RZ9G5','Satisfied','5.0 out of 5 stars','Good fabric. Would keep warm and cozy in winters'
'B0BT1RZ9G5','Must try!!','5.0 out of 5 stars','Great fit and quality..worth it to buy..'
'B0BT1RZ9G5','Perfect','5.0 out of 5 stars','Perfect stockings for girls with fleece lining. Im returning the product just because it did not fit my girl who is 5.1 inch tall.'
'B0BT1RZ9G5','Good Product','5.0 out of 5 stars','Material is good very comfortable'
