item,title,rating,body
'B0BT7C1Y86','Best hai guys','5.0 out of 5 stars','Go for it i suggest'
'B0BT7C1Y86','Cloth quality','5.0 out of 5 stars','Quality is good'
'B0BT7C1Y86','Bad quality','1.0 out of 5 stars','Not expected such a bad piece'
'B0BT7C1Y86','Return option of product','1.0 out of 5 stars','Must be retiring option as product is unusable'
'B0BT7C1Y86','Amazing','4.0 out of 5 stars','Super'
'B0BT7C1Y86','Amazing','5.0 out of 5 stars','Worth the money perfect fitting'
'B0BT7C1Y86','Good for use','5.0 out of 5 stars','Good 👍'
'B0BT7C1Y86','BEST','5.0 out of 5 stars','Cloth quality and fitting is very good totally recommend to buy'
'B0BT7C1Y86',It's ok ok,'3.0 out of 5 stars','Quantity not good'
'B0BT7C1Y86','Good product','5.0 out of 5 stars','Excellent cloth and looks very bright.'
'B0BT7C1Y86','GOOD QUALITY SHIRT','5.0 out of 5 stars','LIKE Nice quality as shown in the photo'
'B0BT7C1Y86','very good product','5.0 out of 5 stars','very nice'
'B0BT7C1Y86',Don't buy this product,'1.0 out of 5 stars','Pathetic.Looks like purchased from footpath.Horrible'
'B0BT7C1Y86','Fit','4.0 out of 5 stars','Nice fitting with good material.'
'B0BT7C1Y86','Size issue','1.0 out of 5 stars','Fiting issue'
'B0BT7C1Y86','Poor quality','1.0 out of 5 stars','Collar and sleeve material is low quality! It is all wrinkled even after wash and iron.'
'B0BT7C1Y86','Bad product. Bad fit. Bad quality.','1.0 out of 5 stars','Fit. Quality'
'B0BT7C1Y86','Very bad','1.0 out of 5 stars','Very bad quality cloth'
'B0BT7C1Y86','Cloth quality','2.0 out of 5 stars','Quality is poor which i was not expecting'
'B0BT7C1Y86',"Quality gud ,but didn't give bigger size",'3.0 out of 5 stars','I want big size'
'B0BT7C1Y86','Cheap Quality','1.0 out of 5 stars','Such a cheap quality Torn on very first day'
'B0BT7C1Y86','J','3.0 out of 5 stars','Shart me pocket nhi thi'
'B0BT7C1Y86','Damaged','1.0 out of 5 stars','Cut and damaged shirt'
'B0BT7C1Y86','The quality is so good at this price','5.0 out of 5 stars','Excellent quality never expected this quality at such Reasonable price similar quality is sold by brands at 3times higher price'
'B0BT7C1Y86','Comfort','4.0 out of 5 stars',"The first thing that struck me about this shirt was its comfort. The softness of the cotton fabric is unmatched, making it a pleasure to wear all day long. It's breathable and keeps me cool during hot summer days, which is a huge plus."
'B0BT7C1Y86','Yuck','1.0 out of 5 stars',"I didn't like the product. I requested for return. It's 13 days now , no one came to pick up the product. Amazon is so unprofessional."
'B0BT7C1Y86','Collar and Coughlin spoil','1.0 out of 5 stars','After first wash collar has damaged Seems like there is paper inside. Pathetic quality'
'B0BT7C1Y86','The best item','5.0 out of 5 stars',It's pure cotton and the material is top level for the give price. Couldn't ask for anything more. Definately worth buying.
'B0BT7C1Y86','Too worest qwality','1.0 out of 5 stars','No quality Chloth. Very worst product'
'B0BT7C1Y86','Poor quality','1.0 out of 5 stars','Poor quality......'
'B0BT7C1Y86','Good quality','5.0 out of 5 stars','Less price'
'B0BT7C1Y86','Product is good but very fit to my body','5.0 out of 5 stars','Ok'
'B0BT7C1Y86','Improper stitching and low quality','2.0 out of 5 stars','Decent for the discounted price but not worth the price mentioned The stitching is very poor quality  so is the material Max 2-3 time wear or just to wear for casual evening outing to run some errands'
'B0BT7C1Y86',Please don't buy this,'1.0 out of 5 stars','This shirt is so delicate that it tore when I tried to iron it at the lowest possible settings'
'B0BT7C1Y86','Cheap quality','1.0 out of 5 stars','Color fade in two days'
'B0BT7C1Y86','Worst Possible Fabric and stiching.','1.0 out of 5 stars','I had requested for same day return as of delivery but there is no update on return.'
'B0BT7C1Y86',men's shirt,'3.0 out of 5 stars','not wrinkle free needs wash after single use.'
'B0BT7C1Y86','Good product','4.0 out of 5 stars','Product is good but size is some what large not as expected.'
'B0BT7C1Y86','Thready pilling','1.0 out of 5 stars',It's was dirty amd had thread pilling even after 2 washes
'B0BT7C1Y86','Nice product','4.0 out of 5 stars','Nice product'
'B0BT7C1Y86','Good fabric','5.0 out of 5 stars','Best quality. Perfect color . Fit size'
'B0BT7C1Y86','Cheap product','1.0 out of 5 stars','This shirt is very cheap and price on this product is waste of money'
'B0BT7C1Y86','Very good','4.0 out of 5 stars','Soft material very comfortable Only issue is no pocket!'
'B0BT7C1Y86','Read before buying!','1.0 out of 5 stars','Color leakage while washing.'
'B0BT7C1Y86','Amazing','3.0 out of 5 stars','Everything was good'
'B0BT7C1Y86','Bad','1.0 out of 5 stars','Very very bad stiching'
'B0BT7C1Y86','Quality is not good','1.0 out of 5 stars','Quality is very poor.'
'B0BT7C1Y86','Worst product on Amazon','1.0 out of 5 stars','I thought it is worth but just after on use all the thread of the shirt started coming out and cloth also lost its grace . In short amazon should drop this item from its list otherwise customers will have bad notion about this online shopping site.'
'B0BT7C1Y86','Nice','5.0 out of 5 stars','Good'
'B0BT7C1Y86','Quality not so good','3.0 out of 5 stars','Not so good but ok'
