item,title,rating,body
'B0BTPK944N','Very bad quality.','1.0 out of 5 stars','The material of this top is too thin. Feels like it will tear up with just a little strech. Very rough material too. I returned the product. Good thing is Amazon is really great with their return and exchange facility.'
'B0BTPK944N','Alright, not great','3.0 out of 5 stars''Not that good. Quality is okok'
'B0BTPK944N','Nice top','5.0 out of 5 stars','Good value for money.'
'B0BTPK944N','wow','5.0 out of 5 stars','wow just wow this was my firsttt order from amazon nd this tuurned out to be awesome amazing u should reaally buy this'
'B0BTPK944N','Not good at all','1.0 out of 5 stars','The fit was fine but the arms were too tight . The material is also not good as it itches on the body'
'B0BTPK944N','Best fit!','5.0 out of 5 stars','This top is just the best option to attend a party or a casual dinner date. The colours are beautifully blended and the V-neck redefines your neckline and change the whole appearance. It has a zipper on the side to fit better which makes it more appealing. To create a sheer look the top also has translucent sleeves. So just go for it. One of my best buys on Amazon so far!❤️'
'B0BTPK944N','Cute chic top','5.0 out of 5 stars','Quality is good n the material is really comfortable.. plus it has zipper closure as the side so easily wearable.... It fits u well around the waist... Oversized sleeves with fitted around the wrists looks really stylish ... May be a bit overpriced.. But the fit is awesome... Overall a great buy... Nd my favourite from the lot And looks good as well...'
'B0BTPK944N','Bad stitching','2.0 out of 5 stars',Not properly stitched....highly disappointed. Totally waste of money. Don't waste your money in this top. Yaa but in terms of design it is good
'B0BTPK944N','In awe of it','5.0 out of 5 stars','It fits like a dream .Looks very classy'
'B0BTPK944N','Nice','4.0 out of 5 stars','Size:S Quality & appearance is good  Has a side chain towards waist'
'B0BTPK944N','Fit','1.0 out of 5 stars','Pathetic qualitysize measures are not shown.also I had issued for return pickup an nobody came to pickup.Amazon please look into it'
'B0BTPK944N','Okay','3.0 out of 5 stars','Okish'
'B0BTPK944N','Want this pink top in Xl size','3.0 out of 5 stars','Hii this top is pretty but not is stock of my size..I want this top in xL size..pls restock this top in my size…pls'
'B0BTPK944N','attractive color and breezy fit','5.0 out of 5 stars','paired this red top with a black slit skirt and made an outfit for a semi-formal event. Hugs the waist and loose at the bust. Baggy sleeves but tight at the wrist. Perfect.'
'B0BTPK944N','Nice','3.0 out of 5 stars','I love this top but sleeves stretching not well and back part see through otherwise front part exactly same and looking wise 😍'
'B0BTPK944N','Very Stylish','5.0 out of 5 stars','Same as picture very good soft quality 👌'
'B0BTPK944N','It feels its small but…','4.0 out of 5 stars','Go for a size upper as it’s slim fit plus there is a zipper on the left side so make sure to open it first & then wear the top. I’m returning as my size went out of stock but I received a defective sleeve. Pls make this article available in XL asap'
'B0BTPK944N','Refund repees','1.0 out of 5 stars',I bought this top for rupees 529 .but it's size is too tight and small..and now I want to return this item...and refund rupees is showing 489 why??
