item,title,rating,body
'B0BWRLF9K8',Shoes Can't change the Colour.,'1.0 out of 5 stars',''
'B0BWRLF9K8','Nice product 😁😁','5.0 out of 5 stars','Value for money and color was nice'
'B0BWRLF9K8','Leg pain','1.0 out of 5 stars','The ite is changing the colour but your leg will get pain while using this'
'B0BWRLF9K8','comfort','3.0 out of 5 stars','lookwise is good but not so much comfortable  pain in ankles and toes after wering above 3 hours....'
'B0BWRLF9K8','Cheap quality product','1.0 out of 5 stars','The colour changing work for 3 to 4 days after it suddenly it stop to change colour please someone exchange my shoes'
'B0BWRLF9K8','Colour changing','4.0 out of 5 stars','Not work yellow colour But blue colour work 😅 Best quality ✨ 🫶 👍 👍 👍 👍 👍 👍 👍'
'B0BWRLF9K8','Fooling people','1.0 out of 5 stars','2 month me color change features gone'
'B0BWRLF9K8','Value for money 🤑🤑','4.0 out of 5 stars','Totally worth it.......under 800..... Bild quality top notch..... Comfort ok ok........'
'B0BWRLF9K8','Great shoes','5.0 out of 5 stars',''
'B0BWRLF9K8','Good quality','4.0 out of 5 stars',''
'B0BWRLF9K8','Not comfy','4.0 out of 5 stars','Looks great But for comfort very bad'
'B0BWRLF9K8','Good','5.0 out of 5 stars','My Good disigen'
'B0BWRLF9K8','Good. But not comfortable','3.0 out of 5 stars',''
'B0BWRLF9K8','Beyond expectations 🫣','5.0 out of 5 stars',"Best product under 800rs, according to me it's quality is perfect at this price range and it's main highlight is of colour changing shoes!!!"
'B0BWRLF9K8','nice','4.0 out of 5 stars','The media could not be loaded. very nice product 🙂🙂🙂'
'B0BWRLF9K8','Finishing not good','1.0 out of 5 stars','Colour not show properly'
'B0BWRLF9K8','There is no comfort at all. Colour change is awesome. Either this is a duplicate or error.','3.0 out of 5 stars','The media could not be loaded. Outer quality is good. Although there is no any kind of comfort at all. Such shoes are available for Rs.350 in local market. Colour changing technology is awesome. Asian should not manufactur such uncomfortable shoes at all. Either this is a duplicate item or manufacturer error.  Well at this price comfort must be guaranteed.  Just for comfort and design returning this shoe.'
'B0BWRLF9K8','Best','5.0 out of 5 stars','The media could not be loaded. But... Quality is top'
'B0BWRLF9K8','Good shoe 👟','5.0 out of 5 stars','Like it.. less price looks good Loved it'
'B0BWRLF9K8','Longer size bad','1.0 out of 5 stars','The media could not be loaded.'
'B0BWRLF9K8','Osm','5.0 out of 5 stars','Nice'
'B0BWRLF9K8','Good shoes but as per price good comfort','3.0 out of 5 stars',Colour doesn't change after a month's use and while walking the line formation above the finger tips doesn't form properly
'B0BWRLF9K8','Value of money','5.0 out of 5 stars','Color of this shoes is very cool'
'B0BWRLF9K8','Wrinkle','2.0 out of 5 stars',"They had given false commitment , shoes don't have quailty it got open from front side and got wrinkles on it shoes are not used daily , quality is bad not happy I thought Sewhag sir is brand ambassador so the company must be good , but it's not true"
'B0BWRLF9K8','Quality is average','2.0 out of 5 stars',"The looks is pretty good but the build is pretty cheap and the base is also hard so don't buy for regular use , it's like a cheap 150 rs shoes"
'B0BWRLF9K8','Shoes damage colour','1.0 out of 5 stars','The media could not be loaded.'
'B0BWRLF9K8','Sizes options... 4&5','3.0 out of 5 stars','Nice'
'B0BWRLF9K8','Not changing colour after 6-7 days','2.0 out of 5 stars','Disappointed..'
'B0BWRLF9K8','Asian colour change shoes','4.0 out of 5 stars','I like the shoes'
'B0BWRLF9K8','Size is not correct','1.0 out of 5 stars','I got shoe for the size that fits me but that was not correct. It is one size smaller than standard foot size'
'B0BWRLF9K8','disappointed','2.0 out of 5 stars','after one wash colour changing is gone shol is not gud after wearing feels like walking with naked foot its 200 rupee shoes very disappointed from this upgrade quality if you charging 700 to 800 rupee for this shoes'
'B0BWRLF9K8','Super Cool','5.0 out of 5 stars','Awesome it is🥳🥳🥳'
'B0BWRLF9K8','Nice shoe','5.0 out of 5 stars','Very comfortable shoes and best colour I really like it best 1 copy of nike i really like it and what a colour'
'B0BWRLF9K8','Not to much comfortable','3.0 out of 5 stars','The media could not be loaded.'
'B0BWRLF9K8',It's too bad,'3.0 out of 5 stars','Its too bad'
'B0BWRLF9K8','Awesome and worth it very comfortable and good looking','5.0 out of 5 stars','Awesome and worth it very comfortable and good looking'
'B0BWRLF9K8','Low quality products','2.0 out of 5 stars','The media could not be loaded. Damage shoes or shoes low quality products'
'B0BWRLF9K8','Good enough','4.0 out of 5 stars','Received it as shown loving it'
'B0BWRLF9K8','Best','5.0 out of 5 stars',Looks hot 🔥 and best shoe I'v ever got
'B0BWRLF9K8','Not change colour after washing','2.0 out of 5 stars',Don't buy street version
'B0BWRLF9K8','Poor quality shoes.','2.0 out of 5 stars','Not as expected. Making so much of noise at the time of walking after wearing shoes. Comfort level is zero.  Avoid to purchase'
'B0BWRLF9K8','look','4.0 out of 5 stars','It was amazing I loved it 😁 shoes are amazing Quality is also good 💯 colour is also good 💯'
'B0BWRLF9K8','nice','5.0 out of 5 stars','good product'
'B0BWRLF9K8','Good','5.0 out of 5 stars','Good'
'B0BWRLF9K8','Little bit not worth','4.0 out of 5 stars','Please try to improve the quality. Rather everything is ok.'
'B0BWRLF9K8','This price is good according to the products','5.0 out of 5 stars',I don't know all about the bad review
'B0BWRLF9K8','Very good','5.0 out of 5 stars','Very good shoe'
'B0BWRLF9K8','The print','2.0 out of 5 stars',Street print on shoes doesn't seems to be good
'B0BWRLF9K8','Packaging is not good','1.0 out of 5 stars','Shoe box is damaged and look like the product is too old. Also shoe is very hard and sole is also hard.'
'B0BWRLF9K8','Received a damaged product ...','2.0 out of 5 stars','The media could not be loaded. Looks r good but unfortunately I received a faulty piece'
