item,title,rating,body
'B0BX5Y2PY9','Smooth, good product','5.0 out of 5 stars''Smooth good product'
'B0BX5Y2PY9','Good pens','3.0 out of 5 stars','The pens are pretty smooth bit few of them ran dry really fast'
'B0BX5Y2PY9','Works fine','5.0 out of 5 stars','Best oen'
'B0BX5Y2PY9','Nice pen','5.0 out of 5 stars','Nice pen'
'B0BX5Y2PY9','The best','5.0 out of 5 stars','very good quality pens.'
'B0BX5Y2PY9','nice pen','4.0 out of 5 stars','best grip'
'B0BX5Y2PY9','Good','4.0 out of 5 stars','Good'
'B0BX5Y2PY9','Old is Gold Reynolds','5.0 out of 5 stars','The media could not be loaded. Excellent product very smooth and easy to write. Reynolds great comeback.'
'B0BX5Y2PY9','Missing quantity - 2 nos short','4.0 out of 5 stars','The best pen I have uaed'
'B0BX5Y2PY9','Good','3.0 out of 5 stars',I thought it's a jell pen but it's normal pen
'B0BX5Y2PY9','Ink is drying','1.0 out of 5 stars','Did not expected from Amazon and Reynolds ordered for neat and clean handwriting but ink flow is not good.. Hence getting missed breaking words while writing.. Would like to replace it and expect a good and fresh one again...'
'B0BX5Y2PY9','Best item.','5.0 out of 5 stars','My childhood favourite pen. I like it.'
'B0BX5Y2PY9','Great','5.0 out of 5 stars','This pen is really smooth handwriting Thankyou Amazon giving a Excellent pen I like it I strongly recommend to everyone worth to buying'
'B0BX5Y2PY9','Very worst quality','1.0 out of 5 stars','Very worst quality product received'
'B0BX5Y2PY9',It's ok but the writing is light,'3.0 out of 5 stars','I like it but it is light'
'B0BX5Y2PY9','Nice','4.0 out of 5 stars','Nice'
'B0BX5Y2PY9','Poor quality of ink.','1.0 out of 5 stars','The quality of the ink used is not good it is very light in colour and also not smooth. It was not a smooth experience the writing is not linear  all in all i am disappointed. Not going to buy it again.'
'B0BX5Y2PY9','Nice','4.0 out of 5 stars','Nice'
'B0BX5Y2PY9','number one pen of india','5.0 out of 5 stars','awesome as always . number one pen of india'
'B0BX5Y2PY9','Waste of money','1.0 out of 5 stars','I bought this pen after a long time. I was highly disappointed with the writing quality. The ink faints after few days.'
'B0BX5Y2PY9','Not worth for the money','2.0 out of 5 stars','The smoothness is ok .handling pen for quiet long time to write creates pain between fingers . The ink is very light and not at all worth for money'
'B0BX5Y2PY9','Quality','1.0 out of 5 stars','Quality is good and smoothly writing experience But price of one packet so high'
'B0BX5Y2PY9','Good','4.0 out of 5 stars','Nostalgia'
'B0BX5Y2PY9','Good product','5.0 out of 5 stars','Light weightSmooth writing ball pen..go for it..sheer nostalgia...total 25 pens received..on this price point what more u can expect.love Reynolds.'
'B0BX5Y2PY9','Poor quality product','1.0 out of 5 stars',These pens are useless. Earlier quality of Reynolds brand is nowhere present. After using for 2-3 days the ink seems to b dried and it doesn't work at all. Very poor show.
'B0BX5Y2PY9','Nice','5.0 out of 5 stars','Value for money... Nostalgia of old times and pens that write fine are rare at this price range. Good for being used as sharing purpose pens.'
'B0BX5Y2PY9','Good👍','3.0 out of 5 stars','Grade= B+ ₹= I am not Seticefide  price not good. 🐥  Overall product good. Thank you Amazon 🙃. 🔱🕉🚩'
'B0BX5Y2PY9','Good 💯','4.0 out of 5 stars','Smooth'
'B0BX5Y2PY9','Old is gold','5.0 out of 5 stars','Best pen'
'B0BX5Y2PY9','Reynolds forever','5.0 out of 5 stars',It's a Reynolds
'B0BX5Y2PY9','Quantity issue','3.0 out of 5 stars','Got 1 less blue pen - all pens are working'
'B0BX5Y2PY9','Good pen but light ink','3.0 out of 5 stars','The pen is as expected well built however the let down is the ink. Too light and difficult to read.'
