item,title,rating,body
'B0BZ3WNQ5T','West of maney','1.0 out of 5 stars','Not a good product quality is poor'
'B0BZ3WNQ5T','Massive Strong','5.0 out of 5 stars','Massive Strong adhesive.'
'B0BZ3WNQ5T','Quality','1.0 out of 5 stars','Not removed tape cover .'
'B0BZ3WNQ5T','Edit: worst tape ever.','2.0 out of 5 stars',"Edit: after using for 5 days It can't even handle the weight of a photo frame... Worst tape ever... See the pic... The tape tore off and the photo frame dropped..and broke...avoid buying. Previous review... Can't handle torsion forces exerted on a power strip when adapters are added. I stuck my power strip (extension board),on a tiled wall. After adding various adapters, like adapter of router, RO filter adapter and a mosquito repelent machine,the adapter kept sheering of from the wall along with the tape. I used the tape to stick my asus router on the wall and it is still stuck on the wall. Conclusion.. The tape cannot handle torsional force."
'B0BZ3WNQ5T','Waste of money','1.0 out of 5 stars',"This should not be called tape in the first place. This is not tape, it is a way to spend 300 rupees without any satisfaction of having spent 300 rupees. If the seller would have sent an empty box for 300 rupees it might have been more satisfying as at least then I would not have wasted time in trying to use this piece of garbage. Let's just agree to call this not tape so that buyers aren't dissappointed. So its not tape, don't buy it."
'B0BZ3WNQ5T','Bad product','1.0 out of 5 stars',It's not working
'B0BZ3WNQ5T',It's strong for is size.,'5.0 out of 5 stars','Very strong worth the price'
'B0BZ3WNQ5T','amazing tap','5.0 out of 5 stars','Good quality product'
'B0BZ3WNQ5T','Good 👍','3.0 out of 5 stars','👍'
'B0BZ3WNQ5T','This product is not 3m original','5.0 out of 5 stars','This product is not 3m original'
'B0BZ3WNQ5T','Very strong..','5.0 out of 5 stars','Very strong..but expected longer tape...'
'B0BZ3WNQ5T','No bonding','1.0 out of 5 stars','Not recommended at all. Tried to fix Idol in my car dashboard. But it did not even stick into the surface. Totally disappointed. Wasted money.'
'B0BZ3WNQ5T','Not at all durable','1.0 out of 5 stars','I recently brought this to adhere/ stick a mirror which is less than 2 kgs in weight to my bathroom wall and it didn’t go well it was fine for 15 days and it started to come off and one fine day it totally came off and shattered my mirror.'
'B0BZ3WNQ5T','Not strong enough.','2.0 out of 5 stars',"'It barely stuck for like few weeks and it jus came off. I used my computer accessories cables which is underneath my study table for this. It\'s away from sunlight and one tspe of about 3"" long which raps around just one cable couldn\'t hold for more than few weeks. So I would not consider this as a permanent solution. It\'s seems to work like a local product more than a substantial name like 3M should give better results than the others'"
'B0BZ3WNQ5T','Very Good quality','4.0 out of 5 stars','Good quality tape serves the purpose very well but very little in amount.'
'B0BZ3WNQ5T','Strong Bond, Some Minor Challenges',"'4.0 out of 5 stars'Ths tape undoubtedly forms a strong bond, which is impressive. However, there are a few minor issues to note.  First, the red covering can be quite challenging to remove, and once removed, the side of the roll tends to remain sticky, making it a bit tricky to handle after use.  Additionally, I noticed that it doesn't adhere well to certain surfaces. For example, after cleaning tiles with thinner, it lost its sticking power. However, I found it extremely useful for fixing all my LED tube lights without the need to drill holes in the walls.  Overall, it's a reliable option with strong bonding capabilities, but be prepared for some minor quirks in its handling and adhesion on certain surfaces."
