item,title,rating,body
'B0BZVMZFVN','Good shirt','4.0 out of 5 stars','Good'
'B0BZVMZFVN','Nice','4.0 out of 5 stars','Good'
'B0BZVMZFVN','Value for money','4.0 out of 5 stars','Good quality and value for money'
'B0BZVMZFVN','Excellent shirt and material','5.0 out of 5 stars','The shirt is very good.. I will buy more from this brand'
'B0BZVMZFVN','Poor fabric quality','1.0 out of 5 stars','Poor fabric quality very cheap product'
'B0BZVMZFVN','Ok','1.0 out of 5 stars','Ok'
'B0BZVMZFVN','Very good','5.0 out of 5 stars','As excepted .very good stuff and fiting is awesome . Must try'
'B0BZVMZFVN','Nice one','5.0 out of 5 stars','Like it'
'B0BZVMZFVN','Quality','2.0 out of 5 stars','Low quality of the clothes'
'B0BZVMZFVN','Size issue','2.0 out of 5 stars','Size is small compared to what it should be.'
'B0BZVMZFVN','Rua aa gaya Shir pe','1.0 out of 5 stars','Bet built quilaty but'
'B0BZVMZFVN','Fitting size not properly','1.0 out of 5 stars','Shirt fitting size different from view picture'
'B0BZVMZFVN','Good product','5.0 out of 5 stars','Very good product in this price.'
'B0BZVMZFVN','Good','4.0 out of 5 stars','Nice 👍🏻☺️'
'B0BZVMZFVN','Colour and product accurate','4.0 out of 5 stars','Colorquality'
'B0BZVMZFVN','Worth','4.0 out of 5 stars','Worth for the price.'
'B0BZVMZFVN','Please send correct fitting','3.0 out of 5 stars','Fitting is not good'
'B0BZVMZFVN','Satisfied','4.0 out of 5 stars','Very nice'
'B0BZVMZFVN','Material quality is very bad','1.0 out of 5 stars','When I received the parcel when I opened it I saw a world-sky difference in the quality of what was shown in the photo and what I received. It is a very bad experience to say.'
'B0BZVMZFVN','Good','4.0 out of 5 stars','Quality'
'B0BZVMZFVN','Perfect beach shirt','4.0 out of 5 stars','I brought it for my husband …suited him very well …he liked it very much… best beach wear …the price is also affordable'
'B0BZVMZFVN','Good','5.0 out of 5 stars','Nice one'
'B0BZVMZFVN','Product without price tag','1.0 out of 5 stars','Product without price tag so cant be returned'
'B0BZVMZFVN','Difference in colour','1.0 out of 5 stars','The shirt looks creamy in the photos  but the colour is actually pink and also the quality is below average . Try to refrain from buying these'
'B0BZVMZFVN','Product Quality','5.0 out of 5 stars','Nice Product and Quality'
'B0BZVMZFVN','Good','2.0 out of 5 stars','Good'
'B0BZVMZFVN','Very bad quality.','1.0 out of 5 stars','Very bad quality. Received torn shirt. Cannot return also.'
'B0BZVMZFVN','Pathetic','1.0 out of 5 stars','Nylon cloth improperly stitched'
'B0BZVMZFVN','Good','5.0 out of 5 stars','My dad loves it.'
'B0BZVMZFVN','Okay','4.0 out of 5 stars','Okay for money spent'
'B0BZVMZFVN','Poor fabric','2.0 out of 5 stars','Poor shirt fabric. Feels air tight in warm humid weather. 👎'
'B0BZVMZFVN','Good for summers','5.0 out of 5 stars',"material is good & fits perfectly. The shirt is looking cool, good for summer and also it's came with well packing with brand tag. Thank you"
'B0BZVMZFVN','Good','5.0 out of 5 stars','Price are reasonable and stuff is very good and fitting is also okay'
'B0BZVMZFVN','Not good','1.0 out of 5 stars','Not as same as pic colour is slightly different and quality is not good...'
'B0BZVMZFVN','Look like alredy used','1.0 out of 5 stars',I didn't take anyone
'B0BZVMZFVN','Nice!','5.0 out of 5 stars','Very nice! Looks cool.'
'B0BZVMZFVN','Good','5.0 out of 5 stars','A new fashion in mine collection 😉.Nice Shirt'
'B0BZVMZFVN','Quality','5.0 out of 5 stars','Good quality...'
'B0BZVMZFVN','Awesome..Just Loved it.','5.0 out of 5 stars','Very Comfortable Fabric and Quality is amazing. Go for it without second thought..!!'
'B0BZVMZFVN','Comfortable shirt','5.0 out of 5 stars','Material is kinda thin but shirt is comfortable.'
'B0BZVMZFVN','Not cotton','3.0 out of 5 stars','It is not fully cotton mixture of polyester but looks good'
'B0BZVMZFVN','Uneven sleeves','1.0 out of 5 stars','Sleeves r uneven.one side is loose and another side is tight'
'B0BZVMZFVN','Shriked cloth after wash','1.0 out of 5 stars',I bought xxl size shirt after 1st wash it became L size. Literal tight to my body can't wear any more. Wasted money no good quality fabric and stitches were also weak.
'B0BZVMZFVN','Good 😊 nice product','5.0 out of 5 stars',Yes it's amazing 🤩 looks very nice ☺️👍 I'm 5/5 rating.... This product
'B0BZVMZFVN','Perfect','5.0 out of 5 stars','Nice material n excellent fit. Value for money. Good for casual wear. You can get costlier shirts but this one is good for day to day wear. Go for it.'
'B0BZVMZFVN','Worst fabric','1.0 out of 5 stars','Bad'
'B0BZVMZFVN','Nice','5.0 out of 5 stars','Very nice shirt clothe fabric is very good very light weight after wearing and comfortable...'
'B0BZVMZFVN','Its very nice','5.0 out of 5 stars',''
'B0BZVMZFVN','Small than usual','4.0 out of 5 stars','But plus 1 your size... Rest is good in this price.'
'B0BZVMZFVN','Issue on exchanging the product','3.0 out of 5 stars','The product is not fit size is too large so I have raised the request for exchanging the product the delivery boy who came to pickup the product is asking for the MRP tag which was not available when it was delivered. But he refused do pick up and rejected the exchange request now am help less and unable to do anything. .'
