item,title,rating,body
'B0C1447PZ6','Good Laptop for my Niece!!','4.0 out of 5 stars','Quick Service from amazon really like the way amazon delivered the products very fast and secure!! Talking About the laptop is good in looking. Performance is good with Core i5-1135G7 Processor Memory managements is also saturated. My niece is booked from amazon prime program https://amzn.to/3Q8A4Cu so its getting some discount also but having some heating issue despite the laptop is worth for buying.'
'B0C1447PZ6','Unboxing','4.0 out of 5 stars','Nice'
'B0C1447PZ6','HEATING UP WITHIN 2 MINUTES','1.0 out of 5 stars','Ordered the laptop for my kids and found that laptop is heating up within 2 minutes. Cant be able to place it in your lap for 5 seconds. Absolutely not recommended. I returned the same within one hour of receiving.'
'B0C1447PZ6','Problem started within a week of purchaseing .','1.0 out of 5 stars','Within a week of purchaseing the laptop it stopped working and than I send it to the service station. I lost the complete data.'
'B0C1447PZ6','Worst laptop with bad performance','1.0 out of 5 stars',This laptop is so slow that it takes 2 mins to power on. It doesn't open heavy Excel hence not for me.
'B0C1447PZ6','Very nice','5.0 out of 5 stars','Good product'
'B0C1447PZ6','Sleek sturdy compact','5.0 out of 5 stars','Small compact slim working perfectly since last 30 days. Good for students'
'B0C1447PZ6','Good','5.0 out of 5 stars','Good'
'B0C1447PZ6','For school kids','2.0 out of 5 stars',"Pros - Light weight - Sturdy - Display and sound are good  Cons - Average performance - Doesn't have backlit keyboard - No finger print sensor to sign-in - Doesn't support face sign-in (says camera is not compatible) - No thunderbolt cable to support dock station  Verdict Go for it if you are buying a laptop for your kid to study, but there are lots of cheaper options available for that."
'B0C1447PZ6','Not a bad product for professionals or college students','4.0 out of 5 stars',"Earlier I had HP i5 5th gen Laptop and the rest of the features were more or less same but the best fact about this laptop is: way more faster than the previous laptops which I've used.  Pros: Faster, Looks, Lighter in weight, Cool mouse touchpad, Awesome Camera, Finger print enabled power button, dashing keyboard looks, less sized games run quick, no problem in multi tab works, superb sound quality.  Cons: Heating issue while playing heavy games, too much sound when used for a long time & battery backup is not as expected (after full charge, the laptop can work max for 3 to 4hrs).  Overall this are the characteristics of the laptop that I faced after I received it, yesterday."
'B0C1447PZ6','Good product this price range','4.0 out of 5 stars','I am writing this after using a month. Tha laptop looks good with no issues report. Need not to handle delicately. Good for rough and tough users too. Battery is fine. But takes just little bit more time in startup. Apart from this everything fine at this price'
'B0C1447PZ6','a Scam by DELL or AMAZON','1.0 out of 5 stars','Beware of such scam...since two weeks chasing every person for refund or replace..but all running away from fact...before buying cross check the facts or else better go for other brand or direct showroom'
'B0C1447PZ6','Support my laptop is facing issue','1.0 out of 5 stars','No support'
'B0C1447PZ6','Quality good','5.0 out of 5 stars','I like quality & design'
'B0C1447PZ6','Worst service','1.0 out of 5 stars','Laptop heating . Reported and no response from Dell support eventhough technician visit is scheduled by amazon. Pathetic experience'
'B0C1447PZ6','A good budget-friendly laptop','4.0 out of 5 stars','Laptop looks and works fine speakers are of good quality and 256GB SSD works fine. Battery retention is apt but main problem in laptop easily starts to overheat even with light usage. Would recommend to anyone with a budget under 50k otherwise you can go for better options'
'B0C1447PZ6','Thanks Amazon!!','5.0 out of 5 stars','Very good product with best features. Thank you Amazon for your great service.'
'B0C1447PZ6','Purchase experience was bad from Amazon, Product is absolutly good.','5.0 out of 5 stars''This laptop is very good for home and office use. For basic users like me. Not recommended for developers and Gamers.'
