item,title,rating,body
'B0C2TQG7ZD','nice','5.0 out of 5 stars','quality is good'
'B0C2TQG7ZD','Good product','5.0 out of 5 stars','This is a trendy look item. Good purchase'
'B0C2TQG7ZD','Okay','3.0 out of 5 stars','Everything is okay okay!!!'
'B0C2TQG7ZD','The eain coat is most help full nice product','5.0 out of 5 stars','Nice product value for money'
'B0C2TQG7ZD','Very good product','5.0 out of 5 stars',It's a rain coat
'B0C2TQG7ZD','Good quality','4.0 out of 5 stars','Product was good but there is no pocket in the raincoat'
'B0C2TQG7ZD','Worst','2.0 out of 5 stars','Worst'
'B0C2TQG7ZD','Excellent Raincoat','5.0 out of 5 stars','Solid build quality'
'B0C2TQG7ZD','PVC cum Polyester Material','3.0 out of 5 stars','The product title is quite misleading to mention as Polyester. The inner layer is of PVC material. The product had a plastic smell when I checked it out and when minutely seeing the description of the product I came to know that the inner material or the reversible checked material is PVC. I preferred a low-cost environment-friendly material for the raincoat but ended up with a PVC cum polyester one so little disappointed. However the product looks good and will surely solve the purpose I think.'
'B0C2TQG7ZD','Very bad item.','1.0 out of 5 stars','Quality is not ok. Leakage not water resistance'
'B0C2TQG7ZD','Quality','5.0 out of 5 stars','Good and super services'
'B0C2TQG7ZD','Water resistance','5.0 out of 5 stars','Used in heavy rains and was very satisfied.'
'B0C2TQG7ZD','Nice','4.0 out of 5 stars','Ok product'
'B0C2TQG7ZD','Good','4.0 out of 5 stars','Good'
'B0C2TQG7ZD','Not worth damaged inside','1.0 out of 5 stars','Not worth damaged inside'
'B0C2TQG7ZD','Nice','4.0 out of 5 stars',''
'B0C2TQG7ZD','Good quality product as per the price','4.0 out of 5 stars','I liked the quality of the product as per the price and looks durable and also the size was ok Can be considered for the price'
'B0C2TQG7ZD','Good quality','4.0 out of 5 stars','Very nice quality you must buy for this if you need a good rain ☔ coat 🧥. Good colour options also'
'B0C2TQG7ZD','Not water resistant and return window also closed','1.0 out of 5 stars','Sleeves are not water resistant and water seeps in... not quality product... owner pls contact to return the product'
'B0C2TQG7ZD','AS EXPECTED','5.0 out of 5 stars','Citizen is always delivering there best'
