item,title,rating,body
'B0C46HFVLM','Soft toy','4.0 out of 5 stars','It is very cute bought for my little son... he also liked it'
'B0C46HFVLM','Cute... Go for it...','4.0 out of 5 stars','Value for money... Recommended....'
'B0C46HFVLM','Happy with product','5.0 out of 5 stars','Product as expected'
'B0C46HFVLM','Cute and good.','5.0 out of 5 stars','Product came in sealed pack. Exactly like shown in the picture. Size is small. Cute and stressbuster.'
'B0C46HFVLM','Cute','5.0 out of 5 stars','Cute Toy.light weighthaving sufficient size'
'B0C46HFVLM','Cutest','5.0 out of 5 stars','Best gift to gift someone cuter than it looks in picture'
'B0C46HFVLM','Worthy buy','5.0 out of 5 stars','This was nice soft toy quality is good worthy but.'
'B0C46HFVLM','Good quality product','4.0 out of 5 stars','I like it'
'B0C46HFVLM','Excellent ,','5.0 out of 5 stars''Very soft  good for kids. Value for money My niece liked it very much she named it rainbow teddy.'
'B0C46HFVLM','Good stuff','5.0 out of 5 stars','Value for money'
'B0C46HFVLM','Good stuff','5.0 out of 5 stars',If seller send it as it is then it's good
'B0C46HFVLM','Cute one','5.0 out of 5 stars','Toy is very cute and soft. Loved it'
'B0C46HFVLM','fulfilled my expectations','4.0 out of 5 stars','value for money'
'B0C46HFVLM','Awesome','5.0 out of 5 stars','Nice toy at this range'
'B0C46HFVLM','Very nice product.','5.0 out of 5 stars','Very nice product.packeging is good.delivered in good condition.Thank you Amazon.'
'B0C46HFVLM','Size is little bit small as per price','3.0 out of 5 stars',"Size doesn't worth the price rest is good, 2 less star for small size either bigger it or reduce price"
'B0C46HFVLM','too small in size','4.0 out of 5 stars','good product but too small'
'B0C46HFVLM','Different colour','4.0 out of 5 stars','Product is good ordered Pink received Yellow.'
'B0C46HFVLM','👍👍FLAWLESS','5.0 out of 5 stars',Size- perfect Stitching wise- perfectly sturdy Look wise- 😂healthy looking Fabric used- perfectly durable Touch and feel- perfectly soft and nice 😵\u200d💫IT'S JUST DINO'S BALANCE THAT'S a little 🤏🤏OFF
'B0C46HFVLM','Cute','5.0 out of 5 stars','Good'
'B0C46HFVLM','Toy to make your little one Happy','5.0 out of 5 stars',Though small in size looks very beautiful cute and feels ❤️. Surely will bring smile on your little one's face.
'B0C46HFVLM','Too small in size as compare to mention in description....','1.0 out of 5 stars','Not good... Too Small in size...'
'B0C46HFVLM','Nice one for the money','5.0 out of 5 stars','Looks good soft children likes the same'
'B0C46HFVLM','Very Very cute','5.0 out of 5 stars','Good quality cutie. Some might find it small but his smile will win you over. Always smiling'
'B0C46HFVLM',It's cute & small,'3.0 out of 5 stars','The media could not be loaded. Size is small. Toy type is good.'
'B0C46HFVLM','Quality','1.0 out of 5 stars','Quality'
'B0C46HFVLM','Cute','5.0 out of 5 stars','Loved it'
'B0C46HFVLM','Very small','2.0 out of 5 stars',''
'B0C46HFVLM','Good quality','5.0 out of 5 stars','You can easily find a similar toy in the market for 50-60 rs but I am a lazy person so I paid 150 rs instead of going out in the sun...'
'B0C46HFVLM','Just go for it.','5.0 out of 5 stars',I love everything about this soft toy. I'm so happy with it.
'B0C46HFVLM','Cute 🥰','4.0 out of 5 stars',"'{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}clientPrefix:""vse_reviews_desktop_rc5pv4zi5hawp_1697117531826""closedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}sushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""261-6218584-3683904""refMarkers:""vse_reviews_desktop_RC5PV4ZI5HAWP_1697117531826_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""48VVGVJX5W7QVSQ7MJF6""customerId:""0""sessionType:1}mimeType:""application/x-mpegURL""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RC5PV4ZI5HAWP""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RC5PV4ZI5HAWP_1697117531826_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}videoHeight:0videoWidth:0initialClosedCaptions:""enhttps://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-eu-west-1-prod/closedCaptions/2838c5ca-5b60-4be8-a3bc-70c610e3af12.vtt""videoUrl:""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/2eaedb7c-19a7-4284-bdcb-822ee4f7e76e/default.vertical.jobtemplate.hls.m3u8""metricsEmissionMethod:""sushi""awaConfig:{""useUpNextComponent"":falseclickstreamNexusMetricsConfig:{""actionType"":""DISCOVERY""productId:""""eventOwner:""vsemetrics_playercards""schemaId:""clickstream.CustomerEvent.4""producerId:""vsemetrics_playercards""eventType:""IVEVideoView""}initialVideo:""RC5PV4ZI5HAWP""shouldPreload:trueenableClickBasedAttribution:falseisChromelessPlayer:falseclosedCaptionsConfig:{""captionsOnTexts"":{""en"":""English (Automated)""}captionsOffText:""Captions off""languageToLabelTexts:{""English"":""English""}}isVideoImmersivePlayer:falsemetricsEmissionMethod:""sushi""skipInitialFocus:falseplayerSkin:""none""disabledViewIds:[""replayHint""]customerId:""0""containerId:""vse_reviews_desktop_rc5pv4zi5hawp_1697117531826-player-ed7f3867-9b4b-4d3c-8d4d-e055ddbf2d6b""requestMetadata:{""marketplaceId"":""A21TJRUUN4KGV""clientId:""VSE-IN""method:""cr_inline_review""requestId:""48VVGVJX5W7QVSQ7MJF6""pageAsin:""""sessionId:""261-6218584-3683904""}shouldLoop:falseshouldDisableControls:falsealwaysSetInitialVideo:trueshowPlayerCloseButton:falseclientPrefix:""""useAutoplayFallback:falsesushiMetricsConfig:{""isRobot"":falseclientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""sessionId:""261-6218584-3683904""refMarkers:""vse_reviews_desktop_RC5PV4ZI5HAWP_1697117531826_ref""placementContext:""cr_inline_review""marketplaceId:""A21TJRUUN4KGV""isInternal:falseendpoint:""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test""requestId:""48VVGVJX5W7QVSQ7MJF6""customerId:""0""sessionType:1}ospLinkCode:""""showPosterImage:truelanguageCode:""en""version:""""nexusMetricsConfig:{""isInternal"":falsewidgetMetricsSchemaId:""vse.VSECardsEvents.8""clientId:""VSE-IN""videoAsinList:""""weblabIds:""""eventSource:""Player""videoAsin:""RC5PV4ZI5HAWP""producerId:""vsemetrics_playercards""refMarkers:""vse_reviews_desktop_RC5PV4ZI5HAWP_1697117531826_ref""placementContext:""cr_inline_review""playerTSMMetricsSchemaId:""vse.VSECardsPlayerEvents.6""}shouldStartMuted:falseairyVersion:""VideoJS""languagePreferenceStrings:{}enableInactiveFocus:trueisReactFactory:falseenableDelphiAttribution:falseshouldAutoplay:false}imageUrl:""https://m.media-amazon.com/images/I/518ynsUiI-L._SY256._SY256.jpg""needPlayerFactory:falseisMobile:false} Video Player is loading. Play Video Play Mute Current Time\xa00:00 / Duration\xa00:00 Loaded: 0% Stream Type\xa0LIVE Seek to live currently behind liveLIVE Remaining Time\xa0-0:00 1x Playback Rate Chapters Chapters Descriptions descriptions off selected Captions Captions off selected Audio Track Fullscreen This is a modal window. No compatible source was found for this media. Good purchase'"
'B0C46HFVLM','Cute and safe for babies.','5.0 out of 5 stars','A little too small however ideal soft toy for tiny tots. Very light. Good quality outer fabric. Well made. Reasonably good discount.'
'B0C46HFVLM','Small in size','2.0 out of 5 stars',''
'B0C46HFVLM','So cute','5.0 out of 5 stars','Size is okeish.. quality is very goo .giftability is perfect... stitching is so nice ... please guys do try it once'
'B0C46HFVLM','Too small 😔','1.0 out of 5 stars','Too small'
'B0C46HFVLM','Nice product','5.0 out of 5 stars','Very nice'
'B0C46HFVLM','Very nice thanku','4.0 out of 5 stars','Color size everything like it'
'B0C46HFVLM','So cute','5.0 out of 5 stars','Must buy... amazing ....love it It looks as it is shown ...good brand....I feel like cuddling it always ....must buy'
'B0C46HFVLM','Loveable ❤️','5.0 out of 5 stars',My daughter's favorites. Very good quality and worth every penny.
'B0C46HFVLM','Not big one its in a tiny size but cute','3.0 out of 5 stars','Too small but cute'
'B0C46HFVLM','Size','5.0 out of 5 stars','Good to use'
'B0C46HFVLM','cute','5.0 out of 5 stars','go for it value for money'
'B0C46HFVLM','Cute','5.0 out of 5 stars',''
'B0C46HFVLM','SO SO PRODUCT','4.0 out of 5 stars','Not a very good product i expected a biiger and bulkier one that i could gift to some kid in my family'
'B0C46HFVLM','Worth the price💯','5.0 out of 5 stars','Quality is good for this price. It’s small and hence easy and handy. It’s clean n soft exactly as shown in pictures. Suitable as a gift.'
'B0C46HFVLM','Costly','4.0 out of 5 stars','Quality wise ok. But size was too small. Which makes it bit costlier to its size. It will be a good deal if you get this at 150'
'B0C46HFVLM','Cheap product.','1.0 out of 5 stars','Quality size everything is bad'
'B0C46HFVLM','Cute soft toy','5.0 out of 5 stars',"Material of the toy is very soft and smooth. Penguin is able to stand upright. It's a small sized toy, perfect for toddlers. Looks very cute."
'B0C46HFVLM','size very small','2.0 out of 5 stars','quality best size problem'
'B0C46HFVLM','Soft but not worth 200','4.0 out of 5 stars','I wish this duck had legs too. Size is too small but is soft'
