item,title,rating,body
'B0C46HFZX6','Soft toy','4.0 out of 5 stars','It is very cute bought for my little son... he also liked it'
'B0C46HFZX6','Cute... Go for it...','4.0 out of 5 stars','Value for money... Recommended....'
'B0C46HFZX6','Happy with product','5.0 out of 5 stars','Product as expected'
'B0C46HFZX6','Cute and good.','5.0 out of 5 stars','Product came in sealed pack. Exactly like shown in the picture. Size is small. Cute and stressbuster.'
'B0C46HFZX6','Cute','5.0 out of 5 stars','Cute Toy.light weighthaving sufficient size'
'B0C46HFZX6','Cutest','5.0 out of 5 stars','Best gift to gift someone cuter than it looks in picture'
'B0C46HFZX6','Worthy buy','5.0 out of 5 stars','This was nice soft toy quality is good worthy but.'
'B0C46HFZX6','Good quality product','4.0 out of 5 stars','I like it'
'B0C46HFZX6','Excellent ,','5.0 out of 5 stars''Very soft  good for kids. Value for money My niece liked it very much she named it rainbow teddy.'
'B0C46HFZX6','Good stuff','5.0 out of 5 stars','Value for money'
'B0C46HFZX6','Good stuff','5.0 out of 5 stars',If seller send it as it is then it's good
'B0C46HFZX6','Cute one','5.0 out of 5 stars','Toy is very cute and soft. Loved it'
'B0C46HFZX6','fulfilled my expectations','4.0 out of 5 stars','value for money'
'B0C46HFZX6','Awesome','5.0 out of 5 stars','Nice toy at this range'
'B0C46HFZX6','Very nice product.','5.0 out of 5 stars','Very nice product.packeging is good.delivered in good condition.Thank you Amazon.'
'B0C46HFZX6','Size is little bit small as per price','3.0 out of 5 stars',"Size doesn't worth the price rest is good, 2 less star for small size either bigger it or reduce price"
'B0C46HFZX6','too small in size','4.0 out of 5 stars','good product but too small'
'B0C46HFZX6','Different colour','4.0 out of 5 stars','Product is good ordered Pink received Yellow.'
'B0C46HFZX6','👍👍FLAWLESS','5.0 out of 5 stars',Size- perfect Stitching wise- perfectly sturdy Look wise- 😂healthy looking Fabric used- perfectly durable Touch and feel- perfectly soft and nice 😵\u200d💫IT'S JUST DINO'S BALANCE THAT'S a little 🤏🤏OFF
'B0C46HFZX6','Cute','5.0 out of 5 stars','Good'
'B0C46HFZX6','Toy to make your little one Happy','5.0 out of 5 stars',Though small in size looks very beautiful cute and feels ❤️. Surely will bring smile on your little one's face.
'B0C46HFZX6','Too small in size as compare to mention in description....','1.0 out of 5 stars','Not good... Too Small in size...'
'B0C46HFZX6','Nice one for the money','5.0 out of 5 stars','Looks good soft children likes the same'
'B0C46HFZX6','Very Very cute','5.0 out of 5 stars','Good quality cutie. Some might find it small but his smile will win you over. Always smiling'
'B0C46HFZX6',It's cute & small,'3.0 out of 5 stars','The media could not be loaded. Size is small. Toy type is good.'
'B0C46HFZX6','Quality','1.0 out of 5 stars','Quality'
'B0C46HFZX6','Cute','5.0 out of 5 stars','Loved it'
'B0C46HFZX6','Very small','2.0 out of 5 stars',''
'B0C46HFZX6','Good quality','5.0 out of 5 stars','You can easily find a similar toy in the market for 50-60 rs but I am a lazy person so I paid 150 rs instead of going out in the sun...'
'B0C46HFZX6','Just go for it.','5.0 out of 5 stars',I love everything about this soft toy. I'm so happy with it.
