item,title,rating,body
'B0CCVKSCMN','Nice product','4.0 out of 5 stars','The product is nice overall'
'B0CCVKSCMN','Amazing fabric vibrant colors 😍 lovely','5.0 out of 5 stars','I really liked it. I am changing my entire wardrobe and this is the first one I bought for my new one ..just loved it.'
'B0CCVKSCMN','Cute top','5.0 out of 5 stars','Just as expected. Loved it.'
'B0CCVKSCMN','Just okay.','2.0 out of 5 stars','The quality is poor. It is a cheap fabric. It is polyester. Stitching is ok. The buttons are different from website photo…thin white ones!'
'B0CCVKSCMN','Polyester fabric','3.0 out of 5 stars','Quality is okay'
'B0CCVKSCMN','Beautiful top','5.0 out of 5 stars','The fabric is amazing the top is very comfortable. The design is very cute and it is worth buying .'
'B0CCVKSCMN','Nice top','4.0 out of 5 stars',The top is very nice looking.The fabric of it is very beautiful and comfortable. Fabric is not transparent. The fit is amazing and the size is perfect match. The color don't bleed and the fabric feel is very nice.
'B0CCVKSCMN','bad quality','1.0 out of 5 stars',the cloth is really thin with a cheap quality and they didn't even refund the whole amount. I wish I could give a zero star.
'B0CCVKSCMN','Nice top','5.0 out of 5 stars',I love the fitting and quality it's looks so cute and pretty gives you perfect summers vibes and those cute little flower print is really beautiful so comfortable
'B0CCVKSCMN','Beautiful & worth product','5.0 out of 5 stars','The product is totally Amazing loved the product quality & colour is awesome. Go with this product without any second thought. Thank you Amazon'
'B0CCVKSCMN','Best fitting','5.0 out of 5 stars','I just love it soo much Fitting is soo good and quality of cloth is also superb Such a great deal at this price Must buy It looks very cute'
'B0CCVKSCMN','.','3.0 out of 5 stars','Nice'
'B0CCVKSCMN','classy design and colour','5.0 out of 5 stars','Very beautiful and comfortable fabric.'
'B0CCVKSCMN','Pretty','5.0 out of 5 stars','Same as shown in the picture gifted this to my mother. She liked it a lot'
'B0CCVKSCMN','Nice','5.0 out of 5 stars','Comfy material'
'B0CCVKSCMN','Cute \U0001fa77','4.0 out of 5 stars','Super cute crop top. Loved the quality fabric and color.'
