item,title,rating,body
'B0CDRYJ3NV','Nice product','5.0 out of 5 stars',Product quality is good stuff is so nice and very comfort value of money color is also osm it's decorated my house
'B0CDRYJ3NV','Good','5.0 out of 5 stars',Product quality is nice it's much comfort and value of money
'B0CDRYJ3NV','Nice product','5.0 out of 5 stars','Good product'
'B0CDRYJ3NV','Good','5.0 out of 5 stars','Product quality is good stuff is so nice and soft value of money comfortable'
'B0CDRYJ3NV','Awesome product','5.0 out of 5 stars','I like it..i used it..This is very nice product & very low cost.'
'B0CDRYJ3NV','Colour is good','5.0 out of 5 stars','Very nice product amazing quality 💗👍'
'B0CDRYJ3NV','Supper quality','5.0 out of 5 stars','Very nice product very useful'
'B0CDRYJ3NV','DECOR VILLAGE Unique Design Cushion Cover','5.0 out of 5 stars','Awsm. Absolutely same as shown in image. Really I loved it.'
'B0CDRYJ3NV',It's very good use products,'5.0 out of 5 stars','Is very best usefully products for house and very easy to carry and this is very important for house'
'B0CDRYJ3NV','Very comfortable to use','5.0 out of 5 stars',The product is really useful and quality is excellent it's a must try product.
