item,title,rating,body
'B0CG1WV27C','Nice product and value for money','5.0 out of 5 stars','Value for money'
'B0CG1WV27C','Good','5.0 out of 5 stars','Good'
'B0CG1WV27C','Build quality','3.0 out of 5 stars','Nice product'
'B0CG1WV27C','Fire bolt','5.0 out of 5 stars','Good'
'B0CG1WV27C','Nice and comfortable with good feature','4.0 out of 5 stars','Nice and comfortable with good feature Looks rich'
'B0CG1WV27C','Good product with design','5.0 out of 5 stars','Good'
'B0CG1WV27C','Very nice','5.0 out of 5 stars','I liked the watch very much.'
'B0CG1WV27C','Battery last for 810 days','4.0 out of 5 stars','Product is good + budget friendly'
'B0CG1WV27C','Best Watch','5.0 out of 5 stars','Best watch to buy at a reasonable price.'
'B0CG1WV27C','Good features','4.0 out of 5 stars','For the price gives a very luxury look👍🏻'
'B0CG1WV27C','Firebolt ninja encore','5.0 out of 5 stars','Nice one'
