item,title,rating,body
'B0CG4K2G13','Stylish shorts.','4.0 out of 5 stars','The product is not bad considering the price but the fabric used is bit thick for this hot & humid weather however I like the casual style of this shorts very much.'
'B0CG4K2G13','Fits as expected','4.0 out of 5 stars','Good product and it fits as expected.'
'B0CG4K2G13',It's originally Pepe,'5.0 out of 5 stars','Quality & genuinely peppy jones'
'B0CG4K2G13','Comfortable but poor cloth quality','3.0 out of 5 stars',It is light and comfortable but cloth quality is below average. Won't last long. Fibers coming out after wearing it for few days.
'B0CG4K2G13','Material not good','2.0 out of 5 stars','Not worth for the price'
'B0CG4K2G13','Kapde ki quality aur achi honi chahiy thi','4.0 out of 5 stars','Daily uge'
'B0CG4K2G13','Fine','4.0 out of 5 stars','Be careful it colored my white underwear while washing in the washing machine. The material is not thin'
'B0CG4K2G13','Fine but cloth is not as expected','4.0 out of 5 stars',Fit ok Size ok Size ok Quality low(seems low grade fabric) But for this money that's ok
'B0CG4K2G13','Quality','4.0 out of 5 stars','Good quality'
'B0CG4K2G13','Must buy','5.0 out of 5 stars','Good fit Nice quality fabric Machine washable Nice long lasting color'
'B0CG4K2G13','Nice quality','4.0 out of 5 stars','Good quality for the price'
'B0CG4K2G13','Waste of money','1.0 out of 5 stars','Worst product I bought black color short but in two washes it became white color short. Worestooooooo... Worestttttttt'
'B0CG4K2G13','Not Worth / Poor Product','1.0 out of 5 stars','Quality is very poor / Fabric is poor / starching is very very very poor'
'B0CG4K2G13','Good Product','5.0 out of 5 stars','Comfortable and simply worthy...'
'B0CG4K2G13','Good one','5.0 out of 5 stars','Good materialvery good comfort value for money.'
'B0CG4K2G13','Very Good Stuff','5.0 out of 5 stars','I really liked the fitting and stuff of the product its worth purchasing.'
'B0CG4K2G13','Quality','1.0 out of 5 stars','The media could not be loaded. Waste of money'
'B0CG4K2G13','A fine product','5.0 out of 5 stars',"I generally do not trust any random brand on amazon, though peppy zone didn't disappoint. I am writing this review after 2-3 wash. The fit is good. I did not observe any fading of color. The quality of the cloth is good too. Overall a good buy."
'B0CG4K2G13','Good Size & Fit.','4.0 out of 5 stars','Good Size & Fit.'
'B0CG4K2G13','Gets discolored very soon','3.0 out of 5 stars','Got discolored and out of shape very soon'
'B0CG4K2G13','Average','2.0 out of 5 stars','Material used is average quality shrinks in single wash. Too small and may be one size bigger will work.'
'B0CG4K2G13',Poor Quality...don't buy!!,'1.0 out of 5 stars','It is a very cheap quality product. Have hardly worn it thrice and has got holes in it already...'
'B0CG4K2G13','Super value for money','5.0 out of 5 stars','Super duper value for money Good for 34 waist heavy thighs Good quality for summers Super fit for 5’8” guys'
'B0CG4K2G13','Bad product material','1.0 out of 5 stars',''
'B0CG4K2G13','Good fit, comfortable material','5.0 out of 5 stars''Good fit and comfortable'
'B0CG4K2G13','size is can be too close for the fit. please order accordingly','4.0 out of 5 stars','Material is good'
'B0CG4K2G13',It's a brilliant product,'5.0 out of 5 stars','The fitting and fabric both are as expected.'
'B0CG4K2G13','Happy with quality','5.0 out of 5 stars','fit is perfect and the quality of cloth is very soft'
'B0CG4K2G13','I ordered shorts and I got lower','2.0 out of 5 stars','Not bed'
'B0CG4K2G13','Fabric is poor quality. Waste of money.','1.0 out of 5 stars','Poor fabric quality. Fabric got teared near the stitches just after the first use. Couldn’t return it as I don’t have the original packaging. Waste product. Waste of money.'
'B0CG4K2G13','Ordered XL but received Medium Blue','4.0 out of 5 stars','Ordered XL but received Medium Blue over all material to good.'
'B0CG4K2G13','holes in cloth','1.0 out of 5 stars',Very bad quality of cloth I have used for 2-3 days only and in a single wash I am surprised to see holes in cloth. Please don't buy this product
'B0CG4K2G13','Material worst','2.0 out of 5 stars','Material quality is not good after two washes holes appears'
'B0CG4K2G13','Poor product','1.0 out of 5 stars','Long delivery period and product is not as expected'
'B0CG4K2G13','Overpriced','3.0 out of 5 stars','Pant is ok.. price high for it.. should be below 300'
'B0CG4K2G13','Good design and material','4.0 out of 5 stars',It's overall good.
'B0CG4K2G13','Size issue . order one size bigger','3.0 out of 5 stars','Size issue . order one size bigger'
'B0CG4K2G13','Comfort and material is good at this price','5.0 out of 5 stars','Good product at this price.'
'B0CG4K2G13','Very good','4.0 out of 5 stars','Comfort and fits well'
'B0CG4K2G13','Fit to wearing','5.0 out of 5 stars','All good'
'B0CG4K2G13','Fine cloth','5.0 out of 5 stars','Good'
'B0CG4K2G13','Good product','4.0 out of 5 stars','Overall product is good but expensive'
'B0CG4K2G13','Awesome design','5.0 out of 5 stars','Bad product'
'B0CG4K2G13','Colors easily faded','2.0 out of 5 stars',Fitting is good but it's colour easily faded just after 2 week of used (wash 2 times)
'B0CG4K2G13','Love it','5.0 out of 5 stars','Awesome product .. Looking very good after wearing.. And comfortable'
'B0CG4K2G13','good','4.0 out of 5 stars','goog'
'B0CG4K2G13','Fitting good but fabric bad','3.0 out of 5 stars','Fabric quality is not good.'
'B0CG4K2G13','Good quality fabric.. got as expected .','5.0 out of 5 stars','Good quality ...best buy if choosen the right size .'
'B0CG4K2G13','Good quality fabric... 👍👍','5.0 out of 5 stars','Very good quality and on right size and fit....'
'B0CG4K2G13','Real good product','5.0 out of 5 stars','Material feels real nice and fits me perfectly'
