item,title,rating,body
'B0CG5BBYXK','Useful tool','5.0 out of 5 stars','it was as advertised'
'B0CG5BBYXK','Fitting issue','4.0 out of 5 stars','I return this product just because fitting issue. Except fitting this is good product. Color fabric quality and all'
'B0CG5BBYXK','very discomfort','2.0 out of 5 stars','bad product and wear in winters only'
'B0CG5BBYXK','Beautiful pc','3.0 out of 5 stars','Just go for it but order one size big ♥️'
'B0CG5BBYXK','Quality is good','3.0 out of 5 stars','Quality is good but too tight from neck and over all L size seems to be little too tight also I was looking replace or exchange option which then had mentioned but it only shows return option'
'B0CG5BBYXK','Not warm','3.0 out of 5 stars','Tight on neck not warm but good for show'
'B0CG5BBYXK','Excellent product','5.0 out of 5 stars','Large stripe design is too gud... Heavy nd thick material apt fr winter... Dark Wine red is awesome...order fr exact size only as its already large enough fr the original size'
'B0CG5BBYXK','Good product.','5.0 out of 5 stars','Looks good. Fits well. And superior quality - heavier than expected. Used in winters occasional wearing washed a couple of times but no bubblings so far.'
'B0CG5BBYXK','Quality','1.0 out of 5 stars','Worst quality and size issues'
'B0CG5BBYXK','Excellent quality','5.0 out of 5 stars','Accurate color and best for winters.'
