item,title,rating,body
'B0CHJK8VMJ','Useless phone','1.0 out of 5 stars',It's just been one day and the screen is not working. Whenever somebody calls it only rings but the screen remains shut.
'B0CHJK8VMJ','Not 5G upset','3.0 out of 5 stars','Just launched but given 4g network what a petty. Would have given 5g.'
'B0CHJK8VMJ','Just Wow','5.0 out of 5 stars','Amezing Display Smooth Touch awesome cam on this price great'
'B0CHJK8VMJ','Great buy','5.0 out of 5 stars','At this price this phone is a good buy. Good display | Good battery | Good looks and overall good performance.'
'B0CHJK8VMJ','Beautiful design with affordable cost','5.0 out of 5 stars','Product worth buying in this price range. Recommended strongly.'
'B0CHJK8VMJ','Battery 5 star display 5 star softwares 4.5. Camra 4. Wallu for many','5.0 out of 5 stars','Best'
'B0CHJK8VMJ','Value for money !!! 😳😳','5.0 out of 5 stars','The media could not be loaded. Awesome'
'B0CHJK8VMJ','4G support h','4.0 out of 5 stars','Mene 5g lena tha'
'B0CHJK8VMJ','Battery is not working 100% just 8 hrs','1.0 out of 5 stars','Battery not working properly charging moving very past'
'B0CHJK8VMJ',It's not 5g,'4.0 out of 5 stars',It's not 5g Phone and camera is good
'B0CHJK8VMJ','Super','5.0 out of 5 stars','Super'
