item,title,rating,body
'B0CHK8YRMM','Quality','5.0 out of 5 stars','The product is too good'
'B0CHK8YRMM','Good','4.0 out of 5 stars','Really good product. Got the product as expected'
'B0CHK8YRMM','Superb','5.0 out of 5 stars','Table: All types of work can be done on it. It is long lasting and very strong. It is beautiful. All work can be done well on it.'
'B0CHK8YRMM','Excellent','5.0 out of 5 stars','I am buy this portable product if you need anything else but I love it so much this product quality'
'B0CHK8YRMM','Good','5.0 out of 5 stars','comfortable with any place to easy fit and easy to carry good quality that is good product quality and good services'
'B0CHK8YRMM','Osm','5.0 out of 5 stars','Ye table hmko bhut bhut hi acchi lgi ye bhut jagah me v acche se use me aa jata h'
'B0CHK8YRMM','Nice','5.0 out of 5 stars','Ye product bhut hi accha h or hmko ye padand ayi hm kaisi v kaam is pr aram se kr lete h'
'B0CHK8YRMM','Very nice','5.0 out of 5 stars','This is good'
'B0CHK8YRMM','Good Quality','5.0 out of 5 stars','Product and packaging quality was good 👍 Easy to fold and very strong I like it and suggest for buy'
'B0CHK8YRMM','Good','5.0 out of 5 stars','good product'
'B0CHK8YRMM','Nice','5.0 out of 5 stars','Good quality and easy to use'
