item,title,rating,body
'B0CKBXWK3Y','Value for money','5.0 out of 5 stars','Nice product'
'B0CKBXWK3Y',Waste Product. No use. Don't buy,'1.0 out of 5 stars','No use'
'B0CKBXWK3Y','Easy to use','5.0 out of 5 stars','The media could not be loaded. Best product'
'B0CKBXWK3Y','Too Good','5.0 out of 5 stars','This mop is so good in cleaningcleans a wider area in very less amount of time.I am really enjoying cleaning with walley mop as my new cleaning companion.'
'B0CKBXWK3Y','Much useful','5.0 out of 5 stars','The product is as same as described by the sellerdelivered on time as well.Packaging was so nice and it helped me a lot in my daily cleaning stuffs.'
'B0CKBXWK3Y','Well made','5.0 out of 5 stars','The product is designed so good so as to give much convenience to its users as well.Price is so good as per as the quality of product.I would like to recommend it to everyone finding a mop of good quality and long-lasting.'
'B0CKBXWK3Y','Good purchase','5.0 out of 5 stars','It is lightweightcompacteasy to use seems to be much efficient than other mopsgood for home cleaning.'
'B0CKBXWK3Y','Incredibles','5.0 out of 5 stars','I purchased this product after looking for a deep cleaning video somewhere.it is very easy to carry and assemble.Finishing is so good and qualutywise product is great.Completely a value for money ptoduct.'
'B0CKBXWK3Y','Great product','5.0 out of 5 stars','The product got delivered on time and is as same as described by the seller.The handle isstrong and has a nice grip helps to handle is so smoothly.'
'B0CKBXWK3Y','Exactly what I wanted','5.0 out of 5 stars','The product completely met my expectationscleans so well takes no timeeasy to storedurable.Its with me from a good time and I am sure that it will be last long.'
'B0CKBXWK3Y','Value for money','5.0 out of 5 stars','I have a dog and his hair falls a lot in the whole house which I need to clean several of times and burns too much timeafter getting this product that gets cleaned up in very less time.'
'B0CKBXWK3Y','Best mop','5.0 out of 5 stars','Lightsturdy and portable.Its pad is double of my last mopcleans a lotb space in a very little tme.It cleans my floorswallscabinetsetc so well and takes no time.Greatful to have this product.'
'B0CKBXWK3Y','Cleaning friend','5.0 out of 5 stars','After my last mop got broken I was hunting for a better option and found this.Takes very less space and cleans very good.It is now my best friend in cleansing'
'B0CKBXWK3Y','Heavy quality','5.0 out of 5 stars','The mop is very easy to use and set up at first.After using it for much time can say that it is rust-free and highly durable.Kind product...'
'B0CKBXWK3Y','Best mop','5.0 out of 5 stars','The handle of the mop is long enough and easy to go to the corners and high areas. Overall it is a very good product'
'B0CKBXWK3Y','Very nice product','5.0 out of 5 stars','I am amazed with the product . It is small but very useful . I store it very easily. Easy to use and clean'
'B0CKBXWK3Y','Can be stored in less space','5.0 out of 5 stars','The mop is given with detachable microfiber pads which is very easy to attach and detach and also washable. It nicely takes up the particles of dust and cleans the floor well'
'B0CKBXWK3Y','Great deal','5.0 out of 5 stars','The mop is very great and is having a stainless steel pole which is very easy to hold and the microfibre pads absorbs water very well and collect the particles well'
'B0CKBXWK3Y','Better than cloth mop and sponge','5.0 out of 5 stars',Now I don't use cloth and sponge because it is not so hygienic. This mop is very handy and very flexible to use
'B0CKBXWK3Y','Durable mop','5.0 out of 5 stars','This mop is very easy to assemble and it was packed very well. The quality was excellent .'
'B0CKBXWK3Y','Very easy to handle and use','5.0 out of 5 stars','I liked the product very much . Now after getting this I freely clean up my home regularly.'
'B0CKBXWK3Y','Nice mop','5.0 out of 5 stars','This mop deeply cleans up the deepest corner area of the floor. I am happy with the use'
